date,"仁義潭水庫","日月潭水庫","明德水庫","南化水庫","烏山頭水庫","德基水庫","霧社水庫","白河水庫","永和山水庫","石岡壩","石門水庫","牡丹水庫","阿公店水庫","高屏溪攔河堰","曾文水庫","湖山水庫","集集攔河堰","翡翠水庫","鯉魚潭水庫","寶山第二水庫"
1617206400,27.50,38.07,11.18,35.84,51.67,5.36,14.93,0.00,9.03,13.70,37.07,49.90,30.08,10.88,11.49,43.79,1.54,81.00,10.80,9.90
1617292800,27.14,33.57,11.10,35.30,50.70,5.50,14.03,0.00,8.85,20.31,36.49,49.60,29.56,10.88,11.50,43.47,2.15,80.60,10.58,9.83
1617379200,26.96,31.89,11.02,34.72,49.82,5.71,14.81,0.00,8.67,24.81,35.92,49.26,29.29,10.88,11.51,43.15,1.31,80.12,10.37,9.73
1617465600,26.67,31.94,10.93,34.21,48.87,5.68,15.53,0.00,8.45,28.71,35.43,48.92,28.90,10.88,11.52,42.85,0.79,79.72,10.12,9.60
1617552000,26.49,32.20,10.85,33.66,47.85,5.50,16.24,0.00,8.23,29.17,34.91,48.62,28.24,10.88,11.53,42.54,1.34,79.30,9.89,9.48
1617638400,26.37,36.07,10.77,33.11,47.01,5.32,16.88,0.00,8.09,31.56,34.43,48.28,27.26,10.88,11.54,42.22,1.64,78.80,9.74,9.20
1617724800,26.19,35.57,10.72,32.50,46.10,5.38,17.12,0.00,8.02,29.41,33.96,47.94,26.40,10.88,11.56,41.93,1.86,78.33,9.69,8.92
1617811200,26.02,35.75,10.67,32.02,45.06,5.34,16.08,0.00,7.86,21.14,33.31,47.60,25.29,10.88,11.57,41.67,1.78,77.89,9.48,8.63
1617897600,25.84,35.89,10.61,31.46,44.11,5.15,15.32,0.00,7.73,19.92,32.77,47.30,24.43,10.88,11.58,41.36,1.64,77.34,9.27,8.37
1617984000,25.67,31.41,10.48,30.97,43.18,4.95,14.83,0.00,7.52,17.65,32.22,47.00,23.71,10.88,11.59,41.10,1.64,77.00,8.96,8.24
1618070400,25.44,29.12,10.35,30.42,42.20,4.79,15.42,0.00,7.31,15.41,31.63,46.69,23.45,10.88,11.60,40.81,1.75,76.46,8.69,8.12
1618156800,25.32,34.81,10.27,29.86,41.33,4.58,16.00,0.00,7.16,22.62,30.99,46.39,23.05,10.88,11.61,40.50,1.72,76.09,8.41,7.86
1618243200,25.15,33.43,10.19,29.31,40.39,4.41,15.55,0.00,7.04,28.24,30.23,46.09,22.59,10.88,11.62,40.19,1.33,75.48,8.30,7.57
1618329600,24.97,33.88,10.14,28.75,39.40,4.22,15.06,0.00,6.99,22.83,29.40,45.75,21.82,10.88,11.61,39.88,1.88,75.11,8.26,7.28
1618416000,24.80,33.43,10.09,28.18,38.51,4.33,14.63,0.00,6.81,24.15,28.53,45.49,20.51,10.88,11.62,39.55,1.70,74.63,8.00,7.00
1618502400,24.57,33.97,10.06,27.55,37.62,4.52,14.23,0.00,6.60,21.57,27.71,45.19,19.46,10.88,11.63,39.22,1.52,74.22,7.69,6.84
1618588800,24.40,29.72,10.01,26.89,36.82,4.26,13.54,0.00,6.42,27.08,26.89,44.92,18.15,10.88,11.64,38.92,1.30,73.73,7.36,6.67
1618675200,24.23,26.70,9.91,26.33,35.97,4.00,13.98,0.00,6.17,31.08,26.12,44.58,17.04,10.88,11.65,38.59,1.10,73.27,7.05,6.51
1618761600,24.06,32.29,9.83,25.73,34.94,3.74,14.55,0.00,5.92,23.49,25.28,44.28,16.25,10.88,11.66,38.29,1.22,72.79,6.75,6.31
1618848000,23.89,32.73,9.75,25.11,36.42,3.55,14.03,0.00,5.79,17.11,23.85,43.98,15.60,10.88,10.75,37.98,2.48,72.24,6.66,6.14
